Country,Capital,Latitude,Longitude,Articles_Within_10km
Madagascar,Antananarivo,-18.9137,47.5361,10
Malawi,Lilongwe,-13.9669,33.7873,10
Malaysia,Kuala Lumpur,3.1412,101.6865,10
Maldives,Male,4.1748,73.5089,10
Mali,Bamako,12.65,-8.0,10
Malta,Valletta,35.8997,14.5147,10
Marshall Islands,Majuro,7.0897,171.3803,10
Martinique,Fort-de-France,14.6089,-61.0733,10
Mauritania,Nouakchott,18.0858,-15.9785,10
Mauritius,Port Louis,-20.1619,57.4989,10
Mayotte,Mamoudzou,-12.7794,45.2272,10
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,10
Micronesia (Fed. States of),Palikir,6.9174,158.1588,10
Monaco,Monaco,43.7333,7.4167,10
Mongolia,Ulaanbaatar,47.9077,106.8832,10
Montenegro,Podgorica,42.4411,19.2636,10
Montserrat,Brades Estate,16.7918,-62.2106,10
Morocco,Rabat,34.0133,-6.8326,10
Mozambique,Maputo,-25.9653,32.5892,10
Myanmar,Nay Pyi Taw,19.745,96.1297,10
Namibia,Windhoek,-22.5594,17.0832,10
Nauru,Nauru,-0.5308,166.9112,10
Nepal,Kathmandu,27.7017,85.3206,10
Netherlands,Amsterdam,52.374,4.8897,10
New Caledonia,Nouméa,-22.2763,166.4572,10
New Zealand,Wellington,-41.2866,174.7756,10
Nicaragua,Managua,12.1328,-86.2504,10
Niger,Niamey,13.5137,2.1098,10
Nigeria,Abuja,9.0574,7.4898,10
Niue,Alofi,-19.0585,-169.9213,10
Northern Mariana Islands,Saipan,15.2123,145.7545,10
Norway,Oslo,59.9127,10.7461,10
Oman,Masqat (Muscat),23.6139,58.5922,10
Pakistan,Islamabad,33.7035,73.0594,10
Palau,Koror,7.3426,134.4789,10
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,10
Papua New Guinea,Port Moresby,-9.4431,147.1797,10
Paraguay,Asunción,-25.3007,-57.6359,10
Peru,Lima,-12.0432,-77.0282,10
Philippines,Manila,14.6042,120.9822,10
Poland,Warszawa (Warsaw),52.2298,21.0118,10
Portugal,Lisboa (Lisbon),38.7169,-9.1399,10
Puerto Rico,San Juan,18.4663,-66.1057,10
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,10
Republic of Korea,Seoul,37.5683,126.9778,10
Republic of Moldova,Chişinău,47.0056,28.8575,10
Réunion,Saint-Denis,-20.8823,55.4504,10
Romania,Bucuresti (Bucharest),44.4328,26.1043,10
Russian Federation,Moskva (Moscow),55.755,37.6218,10
Rwanda,Kigali,-1.9474,30.0579,10
Saint Helena,Jamestown,-15.9387,-5.7168,10
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,10
Saint Lucia,Castries,14.006,-60.991,10
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,10
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,10
Samoa,Apia,-13.8333,-171.7667,10
San Marino,San Marino,43.9333,12.45,10
Sao Tome and Principe,São Tomé,0.3365,6.7273,10
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,10
Senegal,Dakar,14.6937,-17.4441,10
Serbia,Beograd (Belgrade),44.8176,20.4633,10
Seychelles,Victoria,-4.6167,55.45,10
Sierra Leone,Freetown,8.484,-13.2299,10
Singapore,Singapore,1.2897,103.8501,10
Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,10
Slovakia,Bratislava,48.1482,17.1067,10
Slovenia,Ljubljana,46.0511,14.5051,10
Solomon Islands,Honiara,-9.4333,159.95,10
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,10
South Africa,Cape Town,-33.9258,18.4232,10
South Sudan,Juba,4.8517,31.5825,10
Spain,Madrid,40.4165,-3.7026,10
Sri Lanka,Colombo,6.9319,79.8478,10
State of Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,10
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,10
Suriname,Paramaribo,5.8664,-55.1668,10
Swaziland,Mbabane,-26.3167,31.1333,10
Sweden,Stockholm,59.3326,18.0649,10
Switzerland,Bern,46.9481,7.4474,10
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,10
Tajikistan,Dushanbe,38.5358,68.7791,10
TFYR Macedonia,Skopje,42.0,21.4333,10
Thailand,Krung Thep (Bangkok),13.722,100.5252,10
Timor-Leste,Dili,-8.5601,125.5668,10
Togo,Lomé,6.1375,1.2123,10
Tokelau,Tokelau,-9.38,-171.25,10
Tonga,Nuku'alofa,-21.1394,-175.2032,10
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,10
Tunisia,Tunis,36.819,10.1658,10
Turkey,Ankara,39.9199,32.8543,10
Turkmenistan,Ashgabat,37.95,58.3833,10
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,9
Tuvalu,Funafuti,-8.5189,179.1991,10
Uganda,Kampala,0.3163,32.5822,10
Ukraine,Kyiv (Kiev),50.4454,30.5186,10
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,10
United Kingdom,London,51.5085,-0.1257,10
United Republic of Tanzania,Dodoma,-6.1722,35.7395,10
United States of America,"Washington, D.C.",38.8951,-77.0364,10
United States Virgin Islands,Charlotte Amalie,18.3419,-64.9307,10
